item(sender,s0,msg(autoStartSysMsg,dispatch,sender,sender,start,7)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,478)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,481)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,484)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,487)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,490)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,493)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,496)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,499)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,502)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,505)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,508)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,511)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,514)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,517)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,520)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,523)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,526)).
